time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-09T12:48:06.590Z,38.8181648,-122.8201675,3.01,0.35,md,10,89,0.009457,0.01,nc,nc73731251,2022-05-09T13:38:15.490Z,"7km NW of The Geysers, CA",earthquake,0.43,1.35,,1,automatic,nc,nc
2022-05-09T12:34:59.494Z,65.2214,-149.9705,1.7,1.7,ml,,,,0.66,ak,ak0225xjodw8,2022-05-09T12:39:13.451Z,"30 km WNW of Minto, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-05-09T12:32:29.510Z,38.841835,-122.8781662,2.72,0.48,md,12,92,0.005482,0.02,nc,nc73731246,2022-05-09T13:27:18.436Z,"13km ENE of Cloverdale, CA",earthquake,0.34,0.69,0.33,3,automatic,nc,nc
2022-05-09T12:19:50.630Z,19.3263339996338,-155.119659423828,42.7599983215332,2,ml,44,143,,0.159999996,hv,hv73007167,2022-05-09T12:28:13.040Z,"15 km S of Fern Forest, Hawaii",earthquake,0.63,0.639999986,4.39,12,automatic,hv,hv
2022-05-09T12:05:16.880Z,48.367,-122.26683333333334,18.91,0.37,md,9,92,0.04414,0.11,uw,uw61829697,2022-05-09T17:58:22.280Z,"4 km SSW of Big Lake, Washington",earthquake,0.58,0.53,0.34282666483583357,7,reviewed,uw,uw
2022-05-09T11:59:49.600Z,-20.5779,-178.4272,593.19,4.5,mb,,105,4.36,0.51,us,us7000h83j,2022-05-09T12:24:11.040Z,"Fiji region",earthquake,13.9,8.1,0.06,80,reviewed,us,us
2022-05-09T11:59:30.230Z,37.2786674,-121.649498,6.52,1.49,md,21,59,0.02722,0.05,nc,nc73731236,2022-05-09T15:57:18.369Z,"16km N of Morgan Hill, CA",earthquake,0.2,0.6,0.12,14,automatic,nc,nc
2022-05-09T11:57:29.230Z,38.757,-122.7363358,1.32,1.07,md,9,105,0.007699,0.02,nc,nc73731231,2022-05-09T12:55:15.272Z,"3km SE of The Geysers, CA",earthquake,0.32,0.5,0.17,2,automatic,nc,nc
2022-05-09T11:51:13.100Z,35.9613333,-117.6811667,3.32,0.6,ml,9,110,0.02835,0.05,ci,ci40254720,2022-05-09T16:13:14.544Z,"20km E of Little Lake, CA",earthquake,0.17,0.31,0.297,2,reviewed,ci,ci
2022-05-09T11:45:12.489Z,60.3413,-141.37,10.1,2,ml,,,,0.84,ak,ak0225xj57jk,2022-05-09T11:51:15.056Z,"127 km NW of Yakutat, Alaska",earthquake,,0.1,,,automatic,ak,ak
2022-05-09T11:43:11.550Z,36.4141655,-120.9980011,6.05,1.39,md,9,126,0.02001,0.19,nc,nc73731226,2022-05-09T15:29:10.184Z,"18km SE of Pinnacles, CA",earthquake,0.71,1.2,0.13,5,automatic,nc,nc
2022-05-09T11:38:04.760Z,37.1301651,-121.5261688,8.5,1.2,md,9,136,0.0702,0.07,nc,nc73731221,2022-05-09T15:03:16.011Z,"9km NE of San Martin, CA",earthquake,0.58,1.57,0.12,7,automatic,nc,nc
